,uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade,ano_mes
369,GO,52003,Entorno Norte,2020,10,281,2020-10
370,GO,52009,Oeste I,2020,10,119,2020-10
371,GO,52017,Sul,2020,10,253,2020-10
372,GO,52004,Entorno Sul,2020,10,1045,2020-10
373,GO,52006,Nordeste I,2020,10,45,2020-10
374,GO,52008,Norte,2020,10,133,2020-10
375,GO,52010,Oeste II,2020,10,122,2020-10
376,GO,52007,Nordeste II,2020,10,110,2020-10
377,GO,52011,Pirineus,2020,09,608,2020-09
378,GO,52008,Norte,2020,09,150,2020-09
379,GO,52004,Entorno Sul,2020,09,1034,2020-09
380,GO,52018,São Patrício II,2020,09,191,2020-09
381,GO,52010,Oeste II,2020,09,128,2020-09
382,GO,52009,Oeste I,2020,09,114,2020-09
383,GO,52012,Rio Vermelho,2020,09,201,2020-09
384,GO,52003,Entorno Norte,2020,09,309,2020-09
385,GO,52014,Serra da Mesa,2020,09,140,2020-09
386,GO,52006,Nordeste I,2020,09,48,2020-09
387,GO,52016,Sudoeste II,2020,09,266,2020-09
388,GO,52017,Sul,2020,09,262,2020-09
389,GO,52002,Centro Sul,2020,09,1065,2020-09
390,GO,52013,São Patrício I,2020,09,174,2020-09
391,GO,52007,Nordeste II,2020,09,117,2020-09
392,GO,52001,Central,2020,09,2041,2020-09
393,GO,52005,Estrada de Ferro,2020,09,329,2020-09
394,GO,52015,Sudoeste I,2020,09,481,2020-09
395,GO,52001,Central,2020,08,2009,2020-08
396,GO,52005,Estrada de Ferro,2020,08,308,2020-08
397,GO,52007,Nordeste II,2020,08,106,2020-08
398,GO,52004,Entorno Sul,2020,08,997,2020-08
399,GO,52011,Pirineus,2020,08,603,2020-08
400,GO,52010,Oeste II,2020,08,126,2020-08
401,GO,52018,São Patrício II,2020,08,178,2020-08
402,GO,52002,Centro Sul,2020,08,982,2020-08
403,GO,52016,Sudoeste II,2020,08,276,2020-08
404,GO,52012,Rio Vermelho,2020,08,188,2020-08
405,GO,52006,Nordeste I,2020,08,44,2020-08
406,GO,52014,Serra da Mesa,2020,08,123,2020-08
407,GO,52013,São Patrício I,2020,08,144,2020-08
408,GO,52009,Oeste I,2020,08,112,2020-08
409,GO,52003,Entorno Norte,2020,08,306,2020-08
410,GO,52008,Norte,2020,08,130,2020-08
411,GO,52015,Sudoeste I,2020,08,481,2020-08
412,GO,52017,Sul,2020,08,274,2020-08
413,GO,52001,Central,2020,07,2118,2020-07
414,GO,52003,Entorno Norte,2020,07,309,2020-07
415,GO,52006,Nordeste I,2020,07,48,2020-07
416,GO,52002,Centro Sul,2020,07,1060,2020-07
417,GO,52008,Norte,2020,07,169,2020-07
418,GO,52016,Sudoeste II,2020,07,284,2020-07
419,GO,52018,São Patrício II,2020,07,209,2020-07
420,GO,52015,Sudoeste I,2020,07,551,2020-07
421,GO,52017,Sul,2020,07,253,2020-07
422,GO,52007,Nordeste II,2020,07,122,2020-07
423,GO,52011,Pirineus,2020,07,597,2020-07
424,GO,52010,Oeste II,2020,07,140,2020-07
425,GO,52012,Rio Vermelho,2020,07,207,2020-07
426,GO,52005,Estrada de Ferro,2020,07,351,2020-07
427,GO,52004,Entorno Sul,2020,07,998,2020-07
428,GO,52009,Oeste I,2020,07,118,2020-07
429,GO,52013,São Patrício I,2020,07,174,2020-07
430,GO,52014,Serra da Mesa,2020,07,125,2020-07
431,GO,52014,Serra da Mesa,2020,06,132,2020-06
432,GO,52004,Entorno Sul,2020,06,1094,2020-06
433,GO,52010,Oeste II,2020,06,109,2020-06
434,GO,52012,Rio Vermelho,2020,06,195,2020-06
435,GO,52018,São Patrício II,2020,06,172,2020-06
436,GO,52003,Entorno Norte,2020,06,317,2020-06
437,GO,52016,Sudoeste II,2020,06,256,2020-06
438,GO,52007,Nordeste II,2020,06,110,2020-06
439,GO,52008,Norte,2020,06,135,2020-06
440,GO,52005,Estrada de Ferro,2020,06,319,2020-06
441,GO,52001,Central,2020,06,2036,2020-06
442,GO,52011,Pirineus,2020,06,610,2020-06
443,GO,52009,Oeste I,2020,06,102,2020-06
444,GO,52006,Nordeste I,2020,06,58,2020-06
445,GO,52017,Sul,2020,06,257,2020-06
446,GO,52013,São Patrício I,2020,06,170,2020-06
447,GO,52002,Centro Sul,2020,06,1085,2020-06
448,GO,52015,Sudoeste I,2020,06,503,2020-06
449,GO,52007,Nordeste II,2020,05,96,2020-05
450,GO,52003,Entorno Norte,2020,05,341,2020-05
451,GO,52001,Central,2020,05,2231,2020-05
452,GO,52008,Norte,2020,05,148,2020-05
453,GO,52004,Entorno Sul,2020,05,1137,2020-05
454,GO,52012,Rio Vermelho,2020,05,234,2020-05
455,GO,52013,São Patrício I,2020,05,171,2020-05
456,GO,52011,Pirineus,2020,05,648,2020-05
457,GO,52015,Sudoeste I,2020,05,498,2020-05
458,GO,52002,Centro Sul,2020,05,1121,2020-05
459,GO,52017,Sul,2020,05,287,2020-05
460,GO,52016,Sudoeste II,2020,05,288,2020-05
461,GO,52006,Nordeste I,2020,05,48,2020-05
462,GO,52010,Oeste II,2020,05,134,2020-05
463,GO,52009,Oeste I,2020,05,120,2020-05
464,GO,52018,São Patrício II,2020,05,205,2020-05
465,GO,52014,Serra da Mesa,2020,05,114,2020-05
